nowtime,vendor,product_id,product_name,brand,current_price,old_price,units
2024-06-11 00:32:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-11 19:52:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-12 10:36:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-13 11:37:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-14 11:40:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-15 13:03:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-16 10:41:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-17 11:17:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-18 08:10:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-19 09:29:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-20 12:23:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-21 16:09:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-22 11:45:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-23 10:55:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-24 10:15:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-25 10:47:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-26 10:32:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-27 10:19:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-28 11:57:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-29 11:23:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-06-30 10:45:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-01 10:57:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-02 10:56:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-03 18:01:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-04 09:25:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-05 09:48:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-06 11:43:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-07 12:24:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-08 11:06:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-09 09:43:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-10 09:22:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-11 10:20:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-12 09:26:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-13 10:21:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-14 11:59:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-15 13:46:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-16 10:42:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-17 12:09:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-18 10:49:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-19 11:13:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-20 13:05:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-21 11:33:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-22 11:08:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,8.99,,72ea
2024-07-23 11:29:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,9.99,,72ea
2024-07-24 11:00:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,9.99,,72ea
2024-07-25 10:42:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,7.99,8.99,72ea
2024-07-26 09:27:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,7.99,8.99,72ea
2024-07-27 11:56:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,7.99,8.99,72ea
2024-07-30 11:24:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,7.99,8.99,72ea
2024-07-31 11:31:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,7.99,8.99,72ea
2024-08-02 11:42:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,9.99,,72ea
2024-08-03 10:46:00,Loblaws,1695173,Green Tea Lemon Ginseng,Lipton,9.99,,72ea
